"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Xu A.; Su Y.; Wang Y.","Xu, Ailing (59241777800); Su, Yuanyuan (59328186200); Wang, Yingxin (59328439000)","59241777800; 59328186200; 59328439000","A Study of the Impact Mechanism of Corporate ESG Performance on Surplus Persistence","2024","Sustainability (Switzerland)","16","17","7324","","","1","10.3390/su16177324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203985230&doi=10.3390%2Fsu16177324&partnerID=40&md5=26eeec0a1dc85cea6181e399841ac22e","Business School, Huaqiao University, Fengze Dist, Quanzhou, 362021, China","Xu A., Business School, Huaqiao University, Fengze Dist, Quanzhou, 362021, China; Su Y., Business School, Huaqiao University, Fengze Dist, Quanzhou, 362021, China; Wang Y., Business School, Huaqiao University, Fengze Dist, Quanzhou, 362021, China","Although more scholars have studied the economic consequences of ESG, no conclusive results have been reached yet. In addition, there is a lack of research on the relationship between corporate ESG performance and surplus persistence. This paper adopts the ordinary least squares (OLS) method to analyze the impact of corporate ESG performance on corporate surplus persistence based on stakeholder theory and principal-agent theory using companies listed in Shanghai and Shenzhen A-shares from 2010 to 2022 as research objects. It was found that there is a significant positive correlation between ESG performance and both the social (S) and governance (G) dimensions, as well as surplus sustainability; conversely, the environmental (E) dimension is significantly negatively correlated with surplus sustainability in the short term, but further analysis reveals that it can enhance corporate surplus sustainability in the long run. Institutional investor shareholding and debt financing costs mediate the relationship between corporate ESG performance and both the S and G dimensions, influencing surplus persistence. Further analysis shows that the positive correlation between a firm’s ESG performance and its governance (G) dimension related to surplus persistence is more significant in the eastern region. © 2024 by the authors.","cost of debt financing; ESG performance; institutional investors; surplus sustainability","China; Guangdong; Shanghai; Shenzhen; corporate social responsibility; environmental impact assessment; financial provision; governance approach; industrial investment; least squares method; persistence; stakeholder; sustainability","Y. Su; Business School, Huaqiao University, Quanzhou, Fengze Dist, 362021, China; email: 23013120017@stu.hqu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203985230"
"Dossa J.V.; Gopang A.A.; Thomas D.; Ukwuoma C.C.; Ngata C.E.; Dossa A.W.","Dossa, Joel Victor (59328818700); Gopang, Aamir Ali (57677985600); Thomas, Dara (59328949600); Ukwuoma, Chiagoziem C. (57206891969); Ngata, Charles Elias (60417204200); Dossa, Alphonce William (60417023100)","59328818700; 57677985600; 59328949600; 57206891969; 60417204200; 60417023100","Navigating the ESG Maze: The Impact of Rating Divergence on Firm Performance in Emerging Markets","2026","Thunderbird International Business Review","","","","","","0","10.1002/tie.70101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031092947&doi=10.1002%2Ftie.70101&partnerID=40&md5=1fd70c10d355ba7c2fd962f1919a10c1","Business School, Sichuan University, Chengdu, China; Sichuan Engineering Technology Research Centre for Industrial Internet Intelligent Monitoring and Application, Chengdu University of Technology, Sichuan, Chengdu, China; OBU, Sino-British Collaborative Education, Chengdu University of Technology, Sichuan, Chengdu, China; College of Business Education, Dodoma Campus, Dodoma, Tanzania; Faculty of Business Administration, Catholic University of Mbeya, Mbeya, Tanzania","Dossa J.V., Business School, Sichuan University, Chengdu, China; Gopang A.A., Business School, Sichuan University, Chengdu, China; Thomas D., Business School, Sichuan University, Chengdu, China; Ukwuoma C.C., Sichuan Engineering Technology Research Centre for Industrial Internet Intelligent Monitoring and Application, Chengdu University of Technology, Sichuan, Chengdu, China, OBU, Sino-British Collaborative Education, Chengdu University of Technology, Sichuan, Chengdu, China; Ngata C.E., College of Business Education, Dodoma Campus, Dodoma, Tanzania; Dossa A.W., Faculty of Business Administration, Catholic University of Mbeya, Mbeya, Tanzania","This study investigates the impact of environmental, social, and governance (ESG) rating divergence on firm performance, focusing on A-share listed firms in China from 2009 to 2022. Using panel data analysis, we provide empirical evidence that ESG rating divergence is negatively associated with firm financial performance. The effect is more pronounced among high-carbon firms, those disclosing ESG reports, firms audited by non-Big 4 auditors, and those with higher costs of debt. Crucially, we assess the moderating role of the 2021 CSRC ESG disclosure guidelines and find that regulation does not alleviate this penalty; instead, the negative effect of ESG divergence becomes more pronounced in the post-regulation period. This indicates that disclosure mandates alone, without harmonized evaluation standards, can inadvertently amplify market penalties. The results further show that these negative effects intensified following external shocks such as the 2015 stock market crash and the COVID-19 pandemic. The study contributes to the ESG literature by highlighting the economic risks of rating divergence and offering a critical policy insight: effective ESG governance requires moving beyond transparency to actively standardize rating methodologies to reduce informational frictions and improve sustainable capital allocation. © 2026 Wiley Periodicals LLC.","audit quality; cost of debt; ESG rating divergence; firm performance; stakeholder theory","","J.V. Dossa; Business School, Sichuan University, Chengdu, China; email: 2022521081028@stu.scu.edu.cn","","John Wiley and Sons Inc","10964762","","","","English","Thunderbird Int. Bus. Rev.","Article","Article in press","","Scopus","2-s2.0-105031092947"
"Aleknevičienė V.; Stralkutė S.","Aleknevičienė, Vilija (56024346700); Stralkutė, Sandra (58515351000)","56024346700; 58515351000","Impact of corporate social responsibility on cost of debt in Scandinavian public companies","2023","Oeconomia Copernicana","14","2","","585","608","16","10.24136/oc.2023.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166341155&doi=10.24136%2Foc.2023.016&partnerID=40&md5=aaf5cce0ae1eba34f56553746e39e5af","Vytautas Magnus University, Lithuania","Aleknevičienė V., Vytautas Magnus University, Lithuania; Stralkutė S., Vytautas Magnus University, Lithuania","Research background: In recent decades, companies have paid increasing attention to corporate social responsibility (CSR) and its related performance. Scandinavian countries lead the world in CSR and sustainability. The good CSR performance of Scandinavian companies has motivated studies on this phenomenon, particularly on the connection between a company’s CSR and its performance. One of the most important performance indicators and value driv-ers is the cost of debt. Purpose of the article: This study assessed the impact of CSR on the cost of debt in Scandinavian public companies. Methods: The research was divided into two stages. In the first stage, Scandinavian public companies were divided into two groups (with and without ESG (environmental, social, governance) disclosure scores) to reveal differences in the cost of debt. In the second stage, a fixed-effects regression model for balanced panel data sets was applied from 2011 to 2020 to assess the impact of ESG and its pillars on the cost of debt. Findings & value added: The results revealed that the cost of debt of companies in Scandinavian countries with ESG disclosure scores was significantly lower. The ESG disclosure scores of these companies have increased significantly over the past 10 years. We found a positive impact of CSR on the cost of debt in Scandinavian public companies. The increase in ESG disclosure and pillar scores reduced the cost of debt. These findings are valuable from a scientific perspective. Scandinavian public companies with ESG scores have higher financial risk, but lower cost of debt. These results support the importance of investors’ behavior, information asymmetry, and signaling. The findings have several implications for shareholders, managers and creditors. They suggest that creditors consider ESG disclosures when determining a borrower’s creditworthiness. Additionally, it is a message to regulators that the debt market values ESG disclosures. © Instytut Badań Gospodarczych / Institute of Economic Research (Poland).","corporate social responsibility; cost of debt; ESG disclosure pillars; ESG disclosure score","","V. Aleknevičienė; Vytautas Magnus University, Lithuania; email: vilija.alekneviciene@vdu.lt","","Institute of Economic Research","20831277","","","","English","Oecon.  Copernic","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166341155"
"Sukmadilaga C.; Ervina M.; Santoso P.; Ghani E.K.","Sukmadilaga, Citra (57190947841); Ervina, Maria (58350745000); Santoso, Permatasari (58346308600); Ghani, Erlane K. (35098434100)","57190947841; 58350745000; 58346308600; 35098434100","Ownership concentration, sustainability practices, and cost of debt: Evidence from ASEAN countries","2023","Asian Economic and Financial Review","13","6","","416","430","0","10.55493/5002.v13i6.4796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162915534&doi=10.55493%2F5002.v13i6.4796&partnerID=40&md5=f33ea5d64b6a45ece8fb39ae7f64dcaa","Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Faculty of Accountancy, Universiti Teknologi MARA Cawangan Selangor, Malaysia","Sukmadilaga C., Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Ervina M.; Santoso P., Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Ghani E.K., Faculty of Accountancy, Universiti Teknologi MARA Cawangan Selangor, Malaysia","This study examines the effect of ownership concentration on sustainability practices and the cost of debt. Subsequently, this study examines whether the performance of sustainability practices influences the cost of debt of public listed companies in three ASEAN countries. This study performed a content analysis on the annual reports of 93 public listed companies in Singapore, Malaysia, and Indonesia. The data analysis showed that ownership concentration has a significant negative effect on the cost of debt but no significant effect on sustainability practices. It also showed that there is a significant negative effect of sustainability practices on the cost of debt. Such findings could be attributed to the differences in business relationships between investors and companies and the non-linear relationship between ownership concentration and sustainability practices. This study provides evidence that both ownership concentration and sustainability practices negatively affect the cost of debt of the public listed companies. From the findings, it is recommended that public listed companies should refocus and strategize ways to mitigate the negative effect of ownership concentration and sustainability practices on the cost of debt, particularly in developing countries. © 2023 AESS Publications. All Rights Reserved.","ASEAN; Cost of debt; Ownership concentration; Public listed companies; Sustainability practices","","C. Sukmadilaga; Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; email: citra.sukmadilaga@unpad.edu.id","","Asian Economic and Social Society","23052147","","","","English","Asian Eco.  Financ. Rev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85162915534"
"Manelli A.; Pace R.; Montecchiani J.; Viserta L.","Manelli, Alberto (55974275600); Pace, Roberta (55978851900); Montecchiani, Jacopo (57222405732); Viserta, Lorenzo (57222405827)","55974275600; 55978851900; 57222405732; 57222405827","The alternative investment market Italia listing process: A sustainable alternative investment market for small medium enterprises (SMEs)?","2020","Rivista di Studi sulla Sostenibilita","","2","","83","101","2","10.3280/RISS2020-002006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102655369&doi=10.3280%2FRISS2020-002006&partnerID=40&md5=f650b1b9875a510cada0d175f6e99d4e","Department of Management, Faculty of Economics, Università Politecnica delle Marche, Piazzale R. Martelli, 8, Ancona, 60121, Italy; Department of Industrial Engineering, Information and Economics, Università degli studi dell’Aquila, Via Giuseppe Mezzanotte, L’Aquila, 67100, Italy; Department of Management, Università Politecnica delle Marche, Italy","Manelli A., Department of Management, Faculty of Economics, Università Politecnica delle Marche, Piazzale R. Martelli, 8, Ancona, 60121, Italy; Pace R., Department of Industrial Engineering, Information and Economics, Università degli studi dell’Aquila, Via Giuseppe Mezzanotte, L’Aquila, 67100, Italy; Montecchiani J., Department of Management, Università Politecnica delle Marche, Italy; Viserta L., Department of Management, Università Politecnica delle Marche, Italy","The present work aims to investigate the world of Small Medium Enterprises (SMEs), exploring in depth the implications related to the sustainability of the listing process in the Alternative Investment Market (AIM) Italia market in order to assess, adopting a critical approach, whether the path of listing could be the ideal choice to support a significant growth of these realities. An empirical survey is therefore presented in order to evaluate the sustainability of the listing process from both an economic-financial and Environmental, Social and Governance (ESG) point of view. The conclusions reached highlight how the listing process hides pitfalls in terms of economic and financial performance; while the commitment to ESG factors seems rewarding both in terms of share price trends and debt cost. Copyright © FrancoAngeli.","AIM; ESG; Listing; Performance; SMEs; Sustainability","","","","FrancoAngeli","22391959","","","","English","Riv. Studi Sulla Sostenibilita","Article","Final","","Scopus","2-s2.0-85102655369"
"Siwela W.; Ngwakwe C.C.","Siwela, Witness (59147720900); Ngwakwe, Collins C. (36698325300)","59147720900; 36698325300","Effect of Corporate Environmental Performance on Banks’ Loan Pricing","2024","International Journal of Economics and Financial Issues","14","3","","178","191","2","10.32479/ijefi.15865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194424645&doi=10.32479%2Fijefi.15865&partnerID=40&md5=bd1fb4103b0428515c137cc7c9b43938","Department of Management Accounting, University of South Africa, South Africa; Graduate School of Leadership, University of Limpopo, South Africa","Siwela W., Department of Management Accounting, University of South Africa, South Africa; Ngwakwe C.C., Graduate School of Leadership, University of Limpopo, South Africa","Capital lenders of money such as banks are perceived to be environmentally sensitive in contemporary times. This sensitivity is evidenced by the advent of new concepts such as green financing in the context of environmental catastrophes which are exacerbated by the climate change crisis. Thus, financial institutions such as banks face a dilemma in deciding whether to prioritise sustainability financing or seek after profit maximisation. To this end, little is known if corporate environmental performance lures support of key stakeholders such as banks. The study renders empirical evidence on this phenomenon by investigating short run and long run dynamics between corporate environmental performance and banks’ loan pricing. Archival data were collected from the FTSE/JSE RII listed companies. A sample of 21 companies generated a short panel data set of 6 years per cross-section totalling 126 observations. The study adopted first differenced econometric models in statistical panel data analyses namely Panel Vector Error Correction Model (VECM), and subsequently Panel Least Squares (PLS), Wald Test, and Impulse Response Functions (IRF). Findings revealed a statistically significant positive impact, both in the short run and long run, between environmental performance predictors and banks’ loan pricing. While the study makes immense contribution to literature, it renders new assertions in understanding stakeholders’ current environmental practices and initiate a new agenda for future research. © 2024, Econjournals. All rights reserved.","Capital Lenders; Cost of Debt; Environmental Performance; Stakeholder; Sustainability","","W. Siwela; Department of Management Accounting, University of South Africa, South Africa; email: 53265874@mylife.unisa.ac.za","","Econjournals","21464138","","","","English","Int. J. Econ. Financ. Issues","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194424645"
"Lassala C.; Apetrei A.; Sapena J.","Lassala, Carlos (55509006200); Apetrei, Andreea (55319205200); Sapena, Juan (55760464600)","55509006200; 55319205200; 55760464600","Sustainability matter and financial performance of companies","2017","Sustainability (Switzerland)","9","9","1498","","","103","10.3390/su9091498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028310882&doi=10.3390%2Fsu9091498&partnerID=40&md5=8a81b38747e99a17fa514cb0a2e4d8b9","Department of Corporate Finance, Faculty of Economics, University of Valencia, Avda de los Naranjos, s/n, Valencia, E-46022, Spain; Faculty of Economics and Business Administration, Catholic University of Valencia, Marquis of Campo Building, 34 Corona St, Valencia, E-46003, Spain","Lassala C., Department of Corporate Finance, Faculty of Economics, University of Valencia, Avda de los Naranjos, s/n, Valencia, E-46022, Spain; Apetrei A., Faculty of Economics and Business Administration, Catholic University of Valencia, Marquis of Campo Building, 34 Corona St, Valencia, E-46003, Spain; Sapena J., Faculty of Economics and Business Administration, Catholic University of Valencia, Marquis of Campo Building, 34 Corona St, Valencia, E-46003, Spain","The relationship between social and environmental performance and financial performance in companies has been a subject widely debated in the literature but the results obtained to date are not conclusive. This research employs the fuzzy-set qualitative comparative analysis (fsQCA) and offers new evidence on the relationship between both types of performance in a sample of companies listed in the Spanish capital market. Financial performance is measured by the return on equity (ROE) ratio, variable that is widely used in Finance and Accounting related research. The corporate performance of the company is measured by its inclusion or not in the sustainability index used as reference for the Spanish capital market, the FTSEGood4 IBEX. The model also incorporates other business variables that might affect the relationships between both types of performance, such as return on assets (ROA) ratio, company size, debt ratio, and industry. The results suggest that, for specific industries, return on assets is a necessary condition for companies with leverage to reduce the cost of debt due to their sustainability profile and consequently boost their ROE. © 2017 by the authors.","Financial performance; fsQCA; FTSE4Good IBEX; Social and environmental performance; Sustainability","Spain; business development; comparative study; corporate strategy; debt; environmental monitoring; equity; financial provision; index method; performance assessment; research work; social impact; sustainability","J. Sapena; Faculty of Economics and Business Administration, Catholic University of Valencia, Valencia, Marquis of Campo Building, 34 Corona St, E-46003, Spain; email: juan.sapena@ucv.es","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85028310882"
"Bhuiyan M.B.U.; Nguyen T.H.N.","Bhuiyan, Md. Borhan Uddin (36995734400); Nguyen, Thi Hong Nhung (57208649857)","36995734400; 57208649857","Impact of CSR on cost of debt and cost of capital: Australian evidence","2020","Social Responsibility Journal","16","3","","419","430","94","10.1108/SRJ-08-2018-0208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065401824&doi=10.1108%2FSRJ-08-2018-0208&partnerID=40&md5=eb6ea11bf0a2ab7058fae8950e6199b4","School of Accountancy, Massey University, Auckland, New Zealand","Bhuiyan M.B.U., School of Accountancy, Massey University, Auckland, New Zealand; Nguyen T.H.N., School of Accountancy, Massey University, Auckland, New Zealand","Purpose: This paper aims to investigate the association between the corporate social responsibility (CSR) and the cost of equity (COE) and cost of debt (COD). Design/methodology/approach: The authors use the multivariate regression analysis approach to address the developed hypotheses. Findings: Using a sample of 230 Australian listed firms from 2004 to 2016, the authors document that firms complying with higher CSR affect both COE and COD negatively, which means that CSR disclosure reduces financing cost. Practical implication: These results support the risk mitigation perspective of CSR compliance, showing that both the investors and creditors may lower their expected returns because they find that CSR can mitigate potential business risk. Originality/value: The authors extend the CSR research with both COE and COD. © 2019, Emerald Publishing Limited.","Cost of debt; Cost of equity; CSR; Risk","","M.B.U. Bhuiyan; School of Accountancy, Massey University, Auckland, New Zealand; email: M.B.U.Bhuiyan@massey.ac.nz","","Emerald Group Holdings Ltd.","17471117","","","","English","Soc. Responsib. J.","Article","Final","","Scopus","2-s2.0-85065401824"
"Hou Q.; Zhang Q.","Hou, Qiaoyu (58870998000); Zhang, Qiang (57831106400)","58870998000; 57831106400","The Effect and Mechanism of ESG Performance on Corporate Debt Financing Costs: Empirical Evidence from Listed Companies in the Heavy-Polluting Industries","2024","Polish Journal of Environmental Studies","33","2","","1753","1766","7","10.15244/pjoes/173999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184417155&doi=10.15244%2Fpjoes%2F173999&partnerID=40&md5=d8b98eb55a54177f670ff963312627c6","International College, Krirk University, No. 3 Soi Ramintra 1, Ramintra Road, Anusaowaree, Bangkhen, Bangkok, 10220, Thailand","Hou Q., International College, Krirk University, No. 3 Soi Ramintra 1, Ramintra Road, Anusaowaree, Bangkhen, Bangkok, 10220, Thailand; Zhang Q., International College, Krirk University, No. 3 Soi Ramintra 1, Ramintra Road, Anusaowaree, Bangkhen, Bangkok, 10220, Thailand","This study investigates the potential benefits of positive environmental, social, and governance (ESG) performance for enterprises operating in heavily polluting industries. Regression analyses using Stata were conducted on a sample of A-share listed enterprises in these industries from 2010 to 2020. The findings reveal that higher ESG performance leads to lower debt financing costs. Furthermore, the analysis of mechanisms indicates that the green innovation behavior of enterprises enhances the impact of ESG performance on debt financing costs. Heterogeneity analysis demonstrates that the ESG performance of heavily polluting enterprises in central China has a more significant influence on debt financing costs. For non-state-owned heavily polluting enterprises, the relationship between standard audit opinions is substantial, as audit opinions contain sufficient information and risk disclosure. This study contributes to our understanding of the economic implications of ESG performance and provides valuable evidence supporting enterprises in their efforts to improve ESG performance. © 2024, HARD Publishing Company. All rights reserved.","cost of debt financing; environmental regulation; ESG performance; green innovation; Stakeholders","","Q. Zhang; International College, Krirk University, Bangkok, No. 3 Soi Ramintra 1, Ramintra Road, Anusaowaree, Bangkhen, 10220, Thailand; email: qiaoyu1024@qq.com","","HARD Publishing Company","12301485","","","","English","Pol. J. Environ. Stud.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184417155"
"Tong Z.; Bajuri N.H.","Tong, Zhongbin (60345948400); Bajuri, Norkhairul Hafiz (56059817900)","60345948400; 56059817900","DO SUSTAINABILITY-DRIVEN IMPROVEMENTS IN ESG PERFORMANCE REDUCE FINANCING COSTS? EVIDENCE FROM CHINESE A-SHARE LISTED COMPANIES","2026","Corporate Governance and Sustainability Review","10","1","","87","98","0","10.22495/cgsrv10i1p8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028300355&doi=10.22495%2Fcgsrv10i1p8&partnerID=40&md5=f1763bc1a952b25cd9bc02469ac34ad3","University of Technology Malaysia, Johor, Malaysia","Tong Z., University of Technology Malaysia, Johor, Malaysia; Bajuri N.H., University of Technology Malaysia, Johor, Malaysia","The consideration of environmental, social, and governance (ESG) has become an integral part of the financing of companies. The ESG scores indicate sustainability, which is integral for maintaining the goodwill of the company and also showing long-term resilience in the financial markets. Hence, this ESG score allows for the alteration of the cost of financing for firms. This particular research analyses whether the improvements in ESG factors lead to a reduction in the financing cost of Chinese A-listed firms. The timeline of the study is between 2009 and 2023, and it is conducted across 4704 firms. A firm fixed effects model (FEM) with standard errors clustered by firm is considered for the analysis. The results show that ESG impacts total financing cost (TFC) negatively by-0.21 percent. Moreover, the cost of debt (COD) is also negatively impacted by-0.06 percent, and the cost of equity (COE) is impacted by-0.04 percent. Impact on TFC and COD is statistically significant. However, the same on COE is not significant. The debt-market result is consistent with signalling and information-asymmetry channels. This is because ESG reduces perceived default risk and improves creditor terms (Huang, 2022). Based on these findings, policy recommendations on ESG disclosure have been suggested to the Chinese government. © 2026 The Authors.","Chinese A-Listed Firms; ESG; FEM; Financing Cost; Panel Data Analysis; REM","","","","Virtus Interpress","25198971","","","","English","Corp. Gov. Sustain. Rev.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028300355"
