Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Note
Siwei D.; Chalermkiat W.,"Siwei, Dong (57562152000); Chalermkiat, Wongvanichtawee (58701741500)",57562152000; 58701741500,An analysis on the relationship between ESG information disclosure and enterprise value: A case of listed companies in the energy industry in China,2023,Cogent Business and Management,10,3,2207685,,,17,10.1080/23311975.2023.2207685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177209669&doi=10.1080%2F23311975.2023.2207685&partnerID=40&md5=9062f29ebe4d59ed9c4e89d7ea8f3f15,"Graduate School of Management, Siam University, Bangkok, Thailand; College of Accounting, Shandong Technology and Business University, Yantai, China","Siwei D., Graduate School of Management, Siam University, Bangkok, Thailand, College of Accounting, Shandong Technology and Business University, Yantai, China; Chalermkiat W., Graduate School of Management, Siam University, Bangkok, Thailand","This study examines the relationship between environment, social responsibility, and governance (ESG) information disclosure and firms’ value. It also investigates how debt cost is the mediate variable between the ESG and firms’ value. The content analysis supported sustainability development theory, stakeholder theory, and the double carbon target in China. The multiple linear regression is used to examine the relationships for a sample of 94 firm 4-year observations listed in the GICS energy industry during 2018–2021 in China. The results show that ESG is significantly positively associated with firms’ value. Nevertheless, debt cost is negatively and significantly related to ESG. More importantly, the results show that debt cost mediates ESG firms’ value relationship. Further, when the sample is split into state-owned and non-state-owned firms, the ESG- firms’ value significant positive relationship is evident only in the latter, corroborating the mediate role of the debt cost in China. This study contributes to the literature on ESG, debt cost, and firms’ value by offering evidence for the mediating role of debt cost on the ESG firms’ value relationship, supporting the view that non-state-owned firms are more sensitive. Regulators and stakeholders should be aware of the potential effect of engagement in ESG reporting and the benefits of having a low cost of debt on firms’ value. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",corporate value; cost of debt; ESG information performance; stakeholders; sustainability,,"D. Siwei; Graduate School of Management, Siam University, Bangkok, Thailand; email: d15306380167@163.com",,Cogent OA,23311975,,,,English,Cogent Bus. Manag.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85177209669,
Hamrouni A.; Uyar A.; Boussaada R.,"Hamrouni, Amal (55603739300); Uyar, Ali (24448916800); Boussaada, Rim (56069836800)",55603739300; 24448916800; 56069836800,Are corporate social responsibility disclosures relevant for lenders? Empirical evidence from France,2020,Management Decision,58,2,,267,279,115,10.1108/MD-06-2019-0757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076837057&doi=10.1108%2FMD-06-2019-0757&partnerID=40&md5=3991a90f8f968ffbd73a5873f867373a,"Department of Accounting and Finance, La Rochelle Business School, Excelia Group, La Rochelle, France; University of Poitiers, Poitiers, France; La Rochelle Business School, Excelia Group, La Rochelle, France; Faculty of Law, Economics and Management of Jendouba, University of Jendouba, Jendouba, Tunisia; GEF-2A Lab, Université de Tunis, Tunis, Tunisia","Hamrouni A., Department of Accounting and Finance, La Rochelle Business School, Excelia Group, La Rochelle, France, University of Poitiers, Poitiers, France; Uyar A., La Rochelle Business School, Excelia Group, La Rochelle, France; Boussaada R., Faculty of Law, Economics and Management of Jendouba, University of Jendouba, Jendouba, Tunisia, GEF-2A Lab, Université de Tunis, Tunis, Tunisia","Purpose: The purpose of this paper is to test whether or not CSR disclosure (i.e. aggregate as well as its three sub-indicators) reduces the cost of debt for French corporations listed in the SBF 120 index between 2010 and 2015. Design/methodology/approach: CSR disclosure ratings of firms were collected from the Bloomberg database under three dimensions such as environmental, social and governance (ESG). Then, a pooled regression analysis was run. Findings: The results indicate that overall CSR disclosure score as a combination of ESG disclosure scores has a negative effect on the cost of debt (i.e. lowers the cost of debt). While environmental disclosure is negatively associated with the cost of debt, social disclosure is unexpectedly positively associated, and governance disclosure has an insignificant association with the cost of debt. Research limitations/implications: The study has two main limitations. First, the analysis does not consider contractual constraints and obligations that might exist in debt contracts (Jung et al., 2018). Second, the analyses cover a specific time period (i.e. between 2010 and 2015) for a specific country (i.e. France) excluding utilities and the financial sector. Practical implications: Overall, it is inferred from the results that financial markets for lenders take into account CSR disclosure when assessing the creditworthiness of borrowers. Specifically, environmental disclosure is the only subdimension of CSR that is influential on creditors’ decisions to offer favorable interest rates. In line with this outcome, companies can assess their processes and be more aligned with eco-friendly practices, and investors are particularly advised to invest in those types of firms. Originality/value: This study extends scant literature on the association between CSR and the cost of debt by exploring how creditors treat CSR dimensions dissimilarly in granting loans to firms. The findings of this study have particular importance as financial debt is one of the most predominant forms of external financing. © 2019, Emerald Publishing Limited.",Cost of debt; Disclosure; Environmental; France; Governance; Social,,"A. Uyar; La Rochelle Business School, Excelia Group, La Rochelle, France; email: aliuyar@hotmail.com",,Emerald Group Holdings Ltd.,251747,,,,English,Manage. Decis.,Article,Final,,Scopus,2-s2.0-85076837057,
Gonzalez-Ruiz J.D.; Marín-Rodríguez N.J.; Peña A.,"Gonzalez-Ruiz, Juan David (57189303484); Marín-Rodríguez, Nini Johana (57195913643); Peña, Alejandro (55904731500)",57189303484; 57195913643; 55904731500,Board gender diversity and cost of debt financing: Evidence from Latin American and the Caribbean firms,2024,Journal of Corporate Accounting and Finance,35,2,,224,244,3,10.1002/jcaf.22683,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178240995&doi=10.1002%2Fjcaf.22683&partnerID=40&md5=a045d47eac99067b404a6950bb9acef3,"Departamento de Economía, Facultad de Ciencias Humanas y Económicas, Grupo de Investigación en Finanzas y Sostenibilidad, Universidad Nacional de Colombia, Sede Medellín, Medellín, Colombia; Programa de Ingeniería Financiera, Facultad de Ingenierías, Grupo de Investigación en Ingeniería Financiera GINIF, Universidad de Medellín, Antioquia, Medellín, Colombia; Departamento de Contaduría, Grupo de Investigación en Información y Gestión, Universidad EAFIT, Medellín, Colombia","Gonzalez-Ruiz J.D., Departamento de Economía, Facultad de Ciencias Humanas y Económicas, Grupo de Investigación en Finanzas y Sostenibilidad, Universidad Nacional de Colombia, Sede Medellín, Medellín, Colombia; Marín-Rodríguez N.J., Programa de Ingeniería Financiera, Facultad de Ingenierías, Grupo de Investigación en Ingeniería Financiera GINIF, Universidad de Medellín, Antioquia, Medellín, Colombia; Peña A., Departamento de Contaduría, Grupo de Investigación en Información y Gestión, Universidad EAFIT, Medellín, Colombia","This research examines the relationship between board gender diversity and the cost of debt financing in Latin American and Caribbean firms. We implement the Fuzzy Logistic Autoencoder model, using data for 470 firms spanning 2016–2021 from the Eikon Refinitiv Thomson Reuters database. Our findings suggest that the variables independent board, policy board diversity, sustainable development goal 5, executive gender diversity, and governance consistently demonstrated effects on reducing the short-term and long-term debt cost over the period analyzed. Consequently, the potential benefits of including women on the board of directors are conducive to improving the firm's reputation, which materializes in reducing the cost of debt. The results offer valuable insights to researchers and investors seeking to understand the role of BGD composition within firms and its financial impact. © 2023 Wiley Periodicals LLC.",board gender diversity; corporate governance; cost of debt; ESG; financing; Latin America; sustainability,,"J.D. Gonzalez-Ruiz; Departamento de Economía, Facultad de Ciencias Humanas y Económicas, Grupo de Investigación en Finanzas y Sostenibilidad, Universidad Nacional de Colombia, Sede Medellín, Medellín, Colombia; email: jdgonza3@unal.edu.co",,John Wiley and Sons Inc,10448136,,,,English,J. corp. account. finance,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85178240995,
Mubeen M.; Arsla H.M.; Ashfaq K.; Nisar A.; Azeem H.; Riaz A.,"Mubeen, Muhammad (57669631000); Arsla, Hafiz Muhammad (57225977980); Ashfaq, Khurram (57190621547); Nisar, Asad (58783813600); Azeem, Hafiz (57216671918); Riaz, Adil (57658234600)",57669631000; 57225977980; 57190621547; 58783813600; 57216671918; 57658234600,Bridging the Sustainability Gap: Unraveling the Interplay of Sustainability Disclosure and Cost of Debt,2024,Pakistan Journal of  Commerce and  Social Sciences,18,1,,181,225,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195070036&partnerID=40&md5=f5f80e6fe12d9da60e3da5e5257d8cf6,"Department of Commerce, University of the Punjab, Gujranwala Campus, Pakistan; School of Management and Economics, Beijing Institute of Technology, Beijing, China; College of Commerce, Government College University, Faisalabad, Pakistan; School of Finance, Central University of Finance and Economics, Beijing, China","Mubeen M., Department of Commerce, University of the Punjab, Gujranwala Campus, Pakistan; Arsla H.M., School of Management and Economics, Beijing Institute of Technology, Beijing, China; Ashfaq K., College of Commerce, Government College University, Faisalabad, Pakistan; Nisar A., School of Finance, Central University of Finance and Economics, Beijing, China; Azeem H., Department of Commerce, University of the Punjab, Gujranwala Campus, Pakistan; Riaz A., College of Commerce, Government College University, Faisalabad, Pakistan","In the contemporary corporate world, environmental responsibility has elevated the importance of sustainability disclosures and their impact on the cost of debt. Conducting the first comprehensive review in this domain, this study analyzed 76 articles from 2008 to 2022 using the Biblioshiny package in the R program (for bibliometric visualization) and VOSviewer version (for bibliographic coupling), employing strict inclusion criteria based on the PRISMA protocol. The investigation was done to check the influence of sustainability disclosures on the cost of debt, including environmental and social dimensions. Additionally, it synthesized perspectives from lending institutions, corporate governance, earnings management, sustainable business practices, and GHG / Carbon emissions in this relationship. The study has also synthesized the literature with conclusion that high-quality environmental and social disclosures with sustainable practices and reduced carbon emission significantly reduce a firm's cost of debt by minimizing perceived risks, and enhancing reputation, credibility and demand from socially responsible investors. Active engagement in CSR, sustainable practices, proper governance, and stakeholder orientation further contribute to lower the cost of debt. Conversely, inadequate disclosure quality, high carbon emissions, poor environmental records and negative media attention may increase borrowing costs and environmental penalties. This study will help CFOs to develop tailored sustainability strategies in optimization of their cost of debt resulting in higher financial performance. Results of this study are also helpful for policymakers, regulators, financial analysts, auditors, and investors. © (2024), (Johar Education Society Pakistan). All Rights Reserved.",carbon emission; corporate governance; cost of debt; ESG; lending institutions; sustainability assurance; Sustainability disclosures; sustainable business practices,,"H.M. Arsla; School of Management and Economics, Beijing Institute of Technology, Beijing, China; email: arslan@bit.edu.cn",,Johar Education Society Pakistan,19978553,,,,English,Pakistan J. Commer.  Soc. Sci.,Article,Final,,Scopus,2-s2.0-85195070036,Review paper
Liu J.; Ahmad M.I.; Ahmad M.; Nevi G.; Cucari N.,"Liu, Jili (57315200600); Ahmad, Muhammad Ishfaq (36571432500); Ahmad, Muneeb (58276872100); Nevi, Giulia (58132849900); Cucari, Nicola (57193904859)",57315200600; 36571432500; 58276872100; 58132849900; 57193904859,"Corporate Governance and Cost of Debt: Mediating Role of Environmental, Social, and Governance Disclosure",2025,Sustainable Development,33,4,,5458,5469,5,10.1002/sd.3418,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000236961&doi=10.1002%2Fsd.3418&partnerID=40&md5=402387a051022ef79abb6f630764bddc,"Business School, Hubei University, Wuhan, China; Teesside International Business School, Teesside University, Middlesbrough, United Kingdom; Northeastern University, Shenyang, China; Department of Management Studies, Università Politecnica delle Marche, Ancona, Italy; Department of Management, Sapienza University of Rome, Rome, Italy","Liu J., Business School, Hubei University, Wuhan, China; Ahmad M.I., Teesside International Business School, Teesside University, Middlesbrough, United Kingdom; Ahmad M., Northeastern University, Shenyang, China; Nevi G., Department of Management Studies, Università Politecnica delle Marche, Ancona, Italy; Cucari N., Department of Management, Sapienza University of Rome, Rome, Italy","This study examines the direct relationship between corporate governance (including board gender diversity, board independence, insider ownership, institutional ownership, and foreign ownership), ESG disclosure, and the cost of debt. Drawing on stakeholder, agency, and signaling theories, the study extends its analysis to examine the mediating effect of ESG disclosure in the relationship between corporate governance and the cost of debt. Using a sample from nine sectors of the Chinese economy, the results show that most board characteristics are negatively related to the cost of debt, except for insider ownership, which shows a significant positive relationship. In addition, ESG disclosure is found to significantly reduce the cost of debt and serves as a mediator between corporate governance and the cost of debt. This study makes a unique contribution by highlighting the mediating role of ESG disclosure in the relationship between corporate governance and the cost of debt. © 2025 ERP Environment and John Wiley & Sons Ltd.",board gender diversity; cost of debt; ESG disclosure; foreign ownership; institutional investors,corporate strategy; cost; debt; firm ownership; gender relations; governance approach,"N. Cucari; Department of Management, Sapienza University of Rome, Rome, Italy; email: nicola.cucari@uniroma1.it",,John Wiley and Sons Ltd,9680802,,,,English,Sustainable Dev.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-86000236961,
Magnanelli B.S.; Izzo M.F.,"Magnanelli, Barbara Sveva (56460383100); Izzo, Maria Federica (56576107100)",56460383100; 56576107100,Corporate social performance and cost of debt: The relationship,2017,Social Responsibility Journal,13,2,,250,265,137,10.1108/SRJ-06-2016-0103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019041276&doi=10.1108%2FSRJ-06-2016-0103&partnerID=40&md5=36402228ec9aedd37aa021a507569460,"John Cabot University, Rome, Italy; Department of Business and Management, Libera Universita Internazionale Degli Studi Sociali Guido Carli, Rome, Italy","Magnanelli B.S., John Cabot University, Rome, Italy; Izzo M.F., Department of Business and Management, Libera Universita Internazionale Degli Studi Sociali Guido Carli, Rome, Italy","Purpose - This paper aims to investigate the link between corporate social performance (CSP) and cost of debt financing. Despite academic debate has focused on the link between corporate social responsibility (CSR) and CSP (expressed through accounting and market measures of profitability), few empirical researches have analysed the relations between CSR, cost of debt and its relation with the risk profile of a firm. The literature on the cost of debt determinants generally documents a negative association between measures of the risk of the firm and its cost of debt. The literature on CSR defines risk reduction as one of the potential benefits related to CSR activities. Thus, the expectation is that high CSP scores are inversely related to cost of debt. Design/methodology/approach - Using a unique data set of 332 firms over a time period of five years antecedent to the global financial crisis, a linear regression model is applied. Findings - The results show a positive relation between CSP and cost of debt, demonstrating that CSR is not a value driver with an impact on the firm's risk profile. Practical implications - The research has also practical implications as it makes managers aware of the potentiality of CSP to reduce the firm's cost of debt. Originality/value - These findings enlarge the empirical research on the value of CSP, expanding it towards a quite new area of investigation: the cost of external financing. © Emerald Publishing Limited.",Corporate social performance; Corporate social responsibility; Cost of debt; Risk,,"B.S. Magnanelli; John Cabot University, Rome, Italy; email: bsmagnanelli@yahoo.it",,Emerald Group Publishing Ltd.,17471117,,,,English,Soc. Responsib. J.,Article,Final,,Scopus,2-s2.0-85019041276,
Fandella P.; Sergi B.S.; Sironi E.,"Fandella, Paola (57760647600); Sergi, Bruno S. (35369323900); Sironi, Emiliano (39862204200)",57760647600; 35369323900; 39862204200,"Corporate social responsibility performance and the cost of capital in BRICS countries. The problem of selectivity using environmental, social and governance scores",2023,Corporate Social Responsibility and Environmental Management,30,4,,1712,1722,64,10.1002/csr.2447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146309237&doi=10.1002%2Fcsr.2447&partnerID=40&md5=75790836fdd734b6d7059b41c53509db,"Department of Economics and Business Management Sciences, Università Cattolica del Sacro Cuore, Milan, Italy; Davis Center for Russian and Eurasian Studies, Harvard University, Cambridge, MA, United States; Department of Economics, University of Messina, Messina, Italy; Department of Statistical Science, Università Cattolica del Sacro Cuore, Milan, Italy","Fandella P., Department of Economics and Business Management Sciences, Università Cattolica del Sacro Cuore, Milan, Italy; Sergi B.S., Davis Center for Russian and Eurasian Studies, Harvard University, Cambridge, MA, United States, Department of Economics, University of Messina, Messina, Italy; Sironi E., Department of Statistical Science, Università Cattolica del Sacro Cuore, Milan, Italy","The paper aims to test whether corporate social responsibility (CSR) performance affects the costs of debt, equity, and a weighted average of those two components in BRICS countries. Theoretically, a decline in the cost of capital is linked to a decrease in the firm risk. We measure CSR performance using the environmental, social, and governance (ESG) combined score from the Thomson Reuters EIKON database for non-financial enterprises between 2014 and 2019. A panel regression analysis has been run in order to test whether (1) the inclusion in the ESG combined ranking or (2) the level of the scores for ESG combines is linked to a decline in the cost of capital. Empirical evidence suggests that the level of the ESG combined score does not affect the firm's financial risk. Inclusion in the ESG combined index decreases the cost of equity and the average cost of capital instead. Firms that received an ESG combined score pay lower returns to investors. © 2023 The Authors. Corporate Social Responsibility and Environmental Management published by ERP Environment and John Wiley & Sons Ltd.",BRICS; corporate social responsibility; cost of capital; ESG; selectivity; sustainable development,,"E. Sironi; Department of Statistical Science, Università Cattolica del Sacro Cuore, Milan, Largo Gemelli 1, 20123, Italy; email: emiliano.sironi@unicatt.it",,John Wiley and Sons Ltd,15353958,,,,English,Corp. Soc. Responsib. Environ. Manage.,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85146309237,
Dua J.; Sharma A.K.,"Dua, Jyoti (58967317900); Sharma, Anil Kumar (59150113200)",58967317900; 59150113200,Corporate Sustainability and Capital Costs: A Panel Evidence from BRICS Countries,2024,Indian Journal of Corporate Governance,17,1,,77,101,7,10.1177/09746862241240368,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190839712&doi=10.1177%2F09746862241240368&partnerID=40&md5=9c0b5cdf0eaf212ae88aa1882e3b6ee6,"Department of Management Studies, Indian Institute of Technology Roorkee, Uttarakhand, India","Dua J., Department of Management Studies, Indian Institute of Technology Roorkee, Uttarakhand, India; Sharma A.K., Department of Management Studies, Indian Institute of Technology Roorkee, Uttarakhand, India","Global sustainability challenges have triggered a sense of accountability in society, culminating in the growing incorporation of sustainability into corporate operations. This article aims to investigate the influence of environmental, social and governance (ESG) disclosure on a company’s cost of financing in emerging markets. Furthermore, the article examines the criticality of separate pillars of ESG in determining the companies’ capital costs using a panel dataset of 192 non-financial companies drawn from the equity indices from the BRICS countries for 10 years, spanning 2011–2020. Pooled Ordinary Least Square and fixed-effect panel regressions are used to test the hypothesised relationships. The robustness of our findings is validated by the application of the System Generalised Methods of Moments approach. The results show that ESG disclosure scores and their individual component scores are positively associated with the cost of equity and weighted average cost of capital. In contrast, there is a negative relationship with the cost of debt. Results demonstrate the apprehensions of equity providers and the reception of debt providers towards the companies’ ESG adoption. The governance pillar has the most significant influence on capital costs. The study enables managers to evaluate the economically ideal capital structure for ESG-compliant enterprises strategically. © 2024 Institute of Public Enterprise.",BRICS; cost of capital; cost of debt; cost of equity; emerging; ESG,,"A.K. Sharma; Department of Management Studies, Indian Institute of Technology Roorkee, Uttarakhand, India; email: anilsharma@ms.iitr.ac.in",,SAGE Publications Ltd,9746862,,,,English,Indian J. Corp. Gov.,Article,Final,,Scopus,2-s2.0-85190839712,
Sun H.; Wang G.; Bai J.; Shen J.; Zheng X.; Dan E.; Chen F.; Zhang L.,"Sun, Haiyan (58047069900); Wang, Guangyang (57874294500); Bai, Junwei (58046529000); Shen, Jianfei (36679348300); Zheng, Xinyuan (57873744500); Dan, Erli (57195715543); Chen, Feiyu (59875337400); Zhang, Ludan (58046962400)",58047069900; 57874294500; 58046529000; 36679348300; 57873744500; 57195715543; 59875337400; 58046962400,"Corporate Sustainable Development, Corporate Environmental Performance and Cost of Debt",2023,Sustainability (Switzerland),15,1,228,,,23,10.3390/su15010228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145952489&doi=10.3390%2Fsu15010228&partnerID=40&md5=238c88198162f4ebb5bab69b2d86f9f3,"State Grid Materials Co., Ltd, Beijing, 100120, China; Economics and Management Department, North China Electric Power University, Beijing, 102206, China","Sun H., State Grid Materials Co., Ltd, Beijing, 100120, China; Wang G., State Grid Materials Co., Ltd, Beijing, 100120, China; Bai J., State Grid Materials Co., Ltd, Beijing, 100120, China; Shen J., Economics and Management Department, North China Electric Power University, Beijing, 102206, China; Zheng X., Economics and Management Department, North China Electric Power University, Beijing, 102206, China; Dan E., Economics and Management Department, North China Electric Power University, Beijing, 102206, China; Chen F., Economics and Management Department, North China Electric Power University, Beijing, 102206, China; Zhang L., Economics and Management Department, North China Electric Power University, Beijing, 102206, China","High environmental performance of enterprises may reduce financing costs, while good environmental performance can promote sustainable development of enterprises. Therefore, this paper examines the impact mechanism of China’s corporate environmental performance on financing costs, and whether corporate sustainable development plays a regulatory role in the research of heavy pollution industries. This study is conducted through the Breusch and Pagan Lagrange multiplier test for random effects and the Hausman test to determine whether to adopt Fixed-effects regression or Random-effects GLS regression as an estimation method to control individual effects and endogenous problems brought by time. By collecting the samples of listed companies in China from 2010 to 2021, the empirical results show that corporate environmental performance is negatively related to financing costs. Sustainable development, as a moderator variable, is negatively related to financing costs and has weakened the inhibition of corporate environmental performance on financing costs. Although the existing literature shows that environmental performance will lead to changes in debt costs, this study has made contributions to the literature by revealing the sustainable development mechanism in the relationship between corporate environmental performance and financing costs and has verified that sustainable development is one of the important factors affecting financing costs. © 2022 by the authors.",China; corporate environmental performance; corporate sustainable development; cost of debt; costs of capital; sustainability,China; cost analysis; environmental economics; estimation method; industrial emission; spatiotemporal analysis; sustainability; sustainable development,"J. Shen; Economics and Management Department, North China Electric Power University, Beijing, 102206, China; email: xinyzheng@ncepu.edu.cn",,MDPI,20711050,,,,English,Sustainability,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85145952489,
Wang W.; Sun Z.; Dong Y.; Zhang L.,"Wang, Wenjiao (58068184000); Sun, Ziyuan (35206513300); Dong, Yuting (57240763400); Zhang, Longyu (58998985700)",58068184000; 35206513300; 57240763400; 58998985700,"Cost of debt financing, stock returns, and corporate strategic ESG disclosure: Evidence from China",2025,"Business Ethics, the Environment and Responsibility",34,4,,1787,1812,10,10.1111/beer.12741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203383141&doi=10.1111%2Fbeer.12741&partnerID=40&md5=50cd077d7d3feffab4cf640fc2ecb02c,"School of Economics and Management, China University of Mining and Technology, Xuzhou, China","Wang W., School of Economics and Management, China University of Mining and Technology, Xuzhou, China; Sun Z., School of Economics and Management, China University of Mining and Technology, Xuzhou, China; Dong Y., School of Economics and Management, China University of Mining and Technology, Xuzhou, China; Zhang L., School of Economics and Management, China University of Mining and Technology, Xuzhou, China","Whether corporate strategic Environmental, Social, and Governance (ESG) disclosure can be effectively screened by external markets still needs more empirical support. Despite numerous studies confirming the positive impact of ESG, the issue of strategic ESG disclosure has yet to receive sufficient attention. This study examines the impact of ESG greenwashing on the cost of debt financing and stock returns using panel data of Chinese A-share listed corporates from 2012 to 2021. The study finds that external markets fail to recognize ESG greenwashing in the short term, leading to a temporary reduction in the cost of debt financing and an increase in stock returns, but these effects are not lasting. Mechanism analysis shows that ESG greenwashing enhances corporate reputation and reduces the cost of debt financing through the reputation effect, stimulates investor sentiment, and improves stock returns through the sentiment effect. The study identifies management myopia, excessive power, financial distress, and information asymmetry as the main drivers. However, strong oversight by independent directors, involvement of Big Four audit firms, investor site visits, and high industry competition can mitigate these misleading effects. This research expands the understanding of the causes and economic consequences of corporate ESG greenwashing and provides empirical evidence for managing this phenomenon. © 2024 John Wiley & Sons Ltd.",cost of debt financing; ESG greenwashing; stock returns; strategic disclosure,,"Z. Sun; School of Economics and Management, China University of Mining and Technology, Xuzhou, 221116, China; email: sunziyuan@cumt.edu.cn",,John Wiley and Sons Inc,26946416,,,,English,Bus. Ethics Environ. Responsib.,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85203383141,
